TickerId;fund_asset_class_focus;cj_micro_geo;exch_code;cj_micro_asset_class;custom_asset_class_2;n_group;c_equity_type;cj_strategy;fund_mkt_cap_focus;fund_incept_dt;fund_expense_ratio;exchange_geography;front_load;cj_eur_hedged;n_gics_2;n_gics_3;n_gics_1;profilo_duration;gics_industry_group;equity_sectors;is_filled;c_fund_strategy;currency_hedged_indicator;res_update_asset_class;esignal_ticker;etf_undl_index_ticker;dvd_currency;ravenna_currency;back_load;valeur_macro;custom_asset_class;c_fund_geo_focus_1;c_fund_geo_focus_2;company_name;n_bics_1;n_bics_2;c_fixed_income_risk;i_sector;c_fund_mkt_cap_focus;fund_geo_focus;profilo_asset_class;n_bics_3;fund_euro_direct_ucits;i_sub_group;i_group;is_customised;alive;georgia_micro_asset_class;fund_typ;fund_rtg_class_focus;economic_association;fund_benchmark_prim;c_fund_industry_focus;fund_maturity_band_focus;c_fund_typ;fund_total_assets_crncy;cj_asset_class;n_icb_3;n_icb_2;n_icb_1;gics_industry;exchange_country;fund_industry_focus;currency;profilo_currency;credinvest_duration;fund_assets_usd;gics_sector;replication_strategy;ticker;n_sub_group;fund_strategy;c_economic_association;profilo_id;c_fund_rtg_class_focus;c_fund_asset_class_focus;last_val;fx_exposure;cj_macro_geo;fund_open_shr_class;n_sector;isin;;;
3193;;null;GY;null;null;Healthcare-Services;null;null;;;;Europe;;null;Health Care Equipment & Servic;Health Care Providers & Servic;Health Care;null;3510;null;false;;;null;FRE-XET;;EUR;null;;null;Single Stock;;;Fresenius SE & Co KGaA;Health Care;Health Care;null;10005;;;null;Health Care Facilities & Svcs;;387;20042;false;true;null;;;;;;;;;null;Health Care Providers;Health Care;Health Care;351020;Germany;;EUR;null;null;;35;;FRE GY Equity;Dialysis Centers;;;null;;;null;null;null;;Consumer; Non-cyclical;DE0005785604;;
3190;;null;SQ;null;null;Food;null;null;;;;Europe;;null;Food & Staples Retailing;Food & Staples Retailing;Consumer Staples;null;3010;null;false;;;null;DIA-MAC;;;null;;null;Single Stock;;;Distribuidora Internacional de Alimentacion SA;Consumer Staples;Retail & Wholesale - Staples;null;0;;;null;Retail - Consumer Staples;;0;0;false;true;null;;;;;;;;;null;Personal Care; Drug and Grocery Stores;Personal Care; Drug and Grocery Stores;Consumer Staples;301010;Spain;;EUR;null;null;;30;;DIA SQ Equity;Food-Retail;;;null;;;null;null;null;;Consumer; Non-cyclical;
3142;;null;NA;null;null;Oil&Gas;null;null;;;;Europe;;null;;;;null;;null;false;;;null;null;;;null;;null;Single Stock;;;Royal Dutch Petroleum Co;Energy;Oil & Gas;null;0;;;null;Oil & Gas Producers;;0;0;false;false;null;;;;;;;;;null;;;;;Netherlands;;EUR;null;null;;;;RDAG NA Equity;Oil Comp-Integrated;;;null;;;2,00507E+13;null;null;;Energy;;;;
3138;;Europe;FP;null;null;Electric;null;null;;;;Europe;;null;Utilities;Multi-Utilities;Utilities;null;5510;null;false;;;null;ENGI-EEB;;EUR;null;;Climate change;Single Stock;;;Engie SA;Utilities;Utilities;null;10014;;;null;Electric Utilities;;264;20110;false;true;null;;;;;;;;;Single Stock;Gas; Water and Multi-utilities;Utilities;Utilities;551030;France;;EUR;null;null;;55;;ENGI FP Equity;Electric-Generation;;;null;;;null;null;null;;Utilities;FR0010208488;;
3104;;Europe;FP;null;null;Miscellaneous Manufactur;null;null;;;;Europe;;null;Capital Goods;Machinery;Industrials;null;2010;null;false;;;null;ALO-EEB;;EUR;null;;Technology;Single Stock;;;Alstom SA;Industrials;Industrial Products;null;10011;;;null;Transportation Equipment;;294;20088;false;true;null;;;;;;;;;Single Stock;Electronic and Electrical Equipment;Industrial Goods and Services;Industrials;201060;France;;EUR;null;null;;20;;ALO FP Equity;Miscellaneous Manufactur;;;null;;;null;null;null;;Industrial;FR0010220475;;;
3075;;null;FP;null;null;Iron/Steel;null;null;;;;Europe;;null;Materials;Metals & Mining;Materials;null;1510;null;false;;;null;MT-EEB;;USD;null;;null;Single Stock;;;ArcelorMittal SA;Materials;Materials;null;10002;;;null;Steel;;11;20012;false;false;null;;;;;;;;;null;Industrial Metals and Mining;Basic Resources;Basic Materials;151040;France;;EUR;null;null;;15;;MTP FP Equity;Steel-Producers;;;null;;;2,00901E+13;null;null;;Basic Materials;LU1598757687;;;
3061;;Europe;NA;null;null;Iron/Steel;null;null;;;;Europe;;null;Materials;Metals & Mining;Materials;null;1510;null;false;;;null;null;;USD;null;;Climate change;Single Stock;;;ArcelorMittal SA;Materials;Materials;null;10002;;;null;Steel;;11;20012;false;true;null;;;;;;;;;Single Stock;Industrial Metals and Mining;Basic Resources;Basic Materials;151040;Netherlands;;EUR;null;null;;15;;MT NA Equity;Steel-Producers;;;null;;;null;null;null;;Basic Materials;LU1598757687;;;
3041;;null;BB;null;null;Insurance;null;null;;;;Europe;;null;Insurance;Insurance;Financials;null;4030;null;false;;;null;AGS-EEB;;EUR;null;;null;Single Stock;;;Ageas SA/NV;Financials;Insurance;null;10008;;;null;Insurance;;165;20055;false;true;null;;;;;;;;;null;Life Insurance;Insurance;Financials;403010;Belgium;;EUR;null;null;;40;;AGS BB Equity;Multi-line Insurance;;;null;;;null;null;null;;Financial;BE0974264930;;;
3032;;null;GY;null;null;Electric;null;null;;;;Europe;;null;Utilities;Multi-Utilities;Utilities;null;5510;null;false;;;null;RWE-XET;;EUR;null;;null;Single Stock;;;RWE AG;Utilities;Utilities;null;10014;;;null;Electric Utilities;;264;20110;false;true;null;;;;;;;;;null;Gas; Water and Multi-utilities;Utilities;Utilities;551030;Germany;;EUR;null;null;;55;;RWE GY Equity;Electric-Generation;;;null;;;null;null;null;;Utilities;DE0007037129;;
3029;;null;ID;null;null;Building Materials;null;null;;;;Europe;;null;Materials;Construction Materials;Materials;null;1510;null;false;;;null;CRG-DUB;;USD;null;;null;Single Stock;;;CRH PLC;Materials;Materials;null;10011;;;null;Construction Materials;;187;20079;false;true;null;;;;;;;;;null;Construction and Materials;Construction and Materials;Industrials;151020;Ireland;;EUR;null;null;;15;;CRH ID Equity;Bldg Prod-Cement/Aggreg;;;null;;;null;null;null;;Industrial;IE0001827041;;;
3026;;Europe;IM;null;null;Telecommunications;null;null;;;;Europe;;null;Telecommunication Services;Diversified Telecommunication;Communication Services;null;5010;null;false;;;null;TIT-MIL;;EUR;null;;Technology;Single Stock;;;Telecom Italia SpA/Milano;Communications;Telecommunications;null;10003;;;null;Telecommunications;;300;20017;false;true;null;;;;;;;;;Single Stock;Telecommunications Service Providers;Telecommunications;Telecommunications;501010;Italy;;EUR;null;null;;50;;TIT IM Equity;Telephone-Integrated;;;null;;;null;null;null;;Communications;IT0003497168;;;
3024;;null;GY;null;null;Pharmaceuticals;null;null;;;;Europe;;null;Pharmaceuticals; Biotechnology;Pharmaceuticals;Health Care;null;3520;null;false;;;null;BAYN-XET;;EUR;null;;null;Single Stock;;;Bayer AG;Health Care;Health Care;null;10005;;;null;Biotech & Pharma;;126;20044;false;true;null;;;;;;;;;null;Pharmaceuticals and Biotechnology;Health Care;Health Care;352020;Germany;;EUR;null;null;;35;;BAYN GY Equity;Medical-Drugs;;;null;;;null;null;null;;Consumer; Non-cyclical;DE000BAY0017;
3005;;null;FP;null;null;Banks;null;null;;;;Europe;;null;Banks;Banks;Financials;null;4010;null;false;;;null;BNP-EEB;;EUR;null;;null;Single Stock;;;BNP Paribas SA;Financials;Banking;null;10008;;;null;Banking;;713;20051;false;true;null;;;;;;;;;null;Banks;Banks;Financials;401010;France;;EUR;null;null;;40;;BNP FP Equity;Diversified Banking Inst;;;null;;;null;null;null;;Financial;FR0000131104;;;
